Lat,Lon,Times_exceeded
52.262,21.051,4.0
52.197,20.912,4.0
52.229,20.974,4.0
52.3,20.992,4.0
52.18,20.992,4.0
52.263,20.952,4.0
52.25,20.956,4.0
52.235,20.897,4.0
52.156,21.186,4.0
52.279,20.923,4.0
52.251,21.026,4.0
52.162,21.106,4.0
52.101,21.115,4.0
52.217,20.993,4.0
52.311,20.98,4.0
52.182,21.045,4.0
52.131,21.088,4.0
52.264,20.949,4.0
52.187,21.002,4.0
52.233,21.119,4.0
52.261,21.049,4.0
52.196,21.053,4.0
52.309,21.005,4.0
52.307,21.007,4.0
52.21,20.95,4.0
52.217,21.003,4.0
52.147,21.094,4.0
52.375,21.148,4.0
52.263,21.017,4.0
52.238,21.08,4.0
52.153,21.066,4.0
52.298,20.994,4.0
52.256,20.949,4.0
52.147,21.062,4.0
52.157,21.089,4.0
52.235,21.092,4.0
52.204,21.076,4.0
52.198,20.92,4.0
52.168,21.037,4.0
52.372,21.146,4.0
52.262,21.012,4.0
52.22,21.028,4.0
52.206,20.987,4.0
52.205,20.942,4.0
52.212,20.973,4.0
52.225,21.196,4.0
52.291,21.005,4.0
52.249,21.179,4.0
52.383,21.029,4.0
52.182,20.984,4.0
52.228,21.033,4.0
52.186,21.046,4.0
52.222,21.038,4.0
52.283,21.072,4.0
52.225,21.194,4.0
52.224,21.212,4.0
52.153,21.067,4.0
52.356,21.132,4.0
52.284,21.009,4.0
52.225,21.185,4.0
52.288,20.998,4.0
52.236,21.09,4.0
52.225,21.191,4.0
52.294,21.081,4.0
52.221,21.034,4.0
52.251,21.062,4.0
52.172,21.043,4.0
52.161,21.101,4.0
52.244,20.912,4.0
52.182,20.892,4.0
52.307,20.909,4.0
52.278,20.994,4.0
52.279,20.993,4.0
52.301,20.939,4.0
52.237,21.13,4.0
52.29,21.0,4.0
52.349,21.127,4.0
52.292,21.007,4.0
52.168,21.036,4.0
52.233,21.076,4.0
52.204,21.074,4.0
52.237,21.058,4.0
52.308,21.061,4.0
52.266,21.026,4.0
52.332,21.112,4.0
52.249,21.138,4.0
52.247,20.958,4.0
52.225,21.045,4.0
52.239,20.91,4.0
52.235,21.094,4.0
52.224,21.217,4.0
52.225,21.193,4.0
52.249,20.957,4.0
52.164,21.017,4.0
52.157,21.017,4.0
52.215,20.958,4.0
52.195,20.91,4.0
52.085,21.021,4.0
52.219,21.024,4.0
52.333,21.113,4.0
52.226,21.147,4.0
52.217,20.998,4.0
52.219,21.023,4.0
52.245,21.09,4.0
52.186,20.98,4.0
52.236,21.129,4.0
52.185,20.973,3.0
52.232,21.131,3.0
52.301,21.087,3.0
52.128,21.097,3.0
52.247,21.142,3.0
52.202,20.985,3.0
52.251,21.003,3.0
