Lat,Lon,Times_exceeded
52.223,21.039,4.0
52.325,20.941,4.0
52.138,21.099,4.0
52.243,21.17,4.0
52.235,20.956,4.0
52.212,21.089,4.0
52.274,20.968,4.0
52.153,21.067,4.0
52.226,21.15,4.0
52.298,21.085,4.0
52.222,20.924,4.0
52.39,21.032,4.0
52.155,21.09,4.0
52.167,21.017,4.0
52.129,21.018,4.0
52.22,21.09,4.0
52.245,21.088,4.0
52.119,20.893,4.0
52.291,21.005,4.0
52.296,20.933,4.0
52.223,21.041,4.0
52.197,20.883,4.0
52.206,21.112,4.0
52.251,21.026,4.0
52.087,20.88,4.0
52.218,20.896,4.0
52.217,20.996,4.0
52.225,20.935,4.0
52.229,21.008,4.0
52.237,21.047,4.0
52.204,21.076,4.0
52.236,20.956,4.0
52.346,21.124,4.0
52.301,21.087,4.0
52.291,20.835,4.0
52.311,20.961,4.0
52.291,21.004,4.0
52.302,20.906,4.0
52.161,21.222,4.0
52.161,21.086,4.0
52.18,20.994,4.0
52.275,20.964,4.0
52.157,21.018,4.0
52.182,20.985,4.0
52.225,21.176,4.0
52.215,21.094,4.0
52.292,21.0,4.0
52.204,20.893,4.0
52.194,20.982,4.0
52.226,21.17,4.0
52.297,20.934,4.0
52.221,20.99,4.0
52.235,21.095,4.0
52.189,20.981,4.0
52.166,21.025,4.0
52.256,21.141,4.0
52.187,20.967,4.0
52.206,20.944,4.0
52.212,20.895,4.0
52.297,20.797,4.0
52.224,21.206,4.0
52.22,21.028,4.0
52.293,21.017,4.0
52.226,21.151,4.0
52.241,21.051,4.0
52.292,21.001,4.0
52.326,21.028,4.0
52.35,21.127,4.0
52.24,20.921,4.0
52.196,20.983,4.0
52.31,20.98,4.0
52.316,20.976,4.0
52.233,21.124,4.0
52.202,20.938,4.0
52.29,21.0,4.0
52.214,21.017,4.0
52.301,21.038,4.0
52.171,21.019,4.0
52.177,21.075,4.0
52.233,21.028,4.0
52.234,21.103,4.0
52.289,21.004,4.0
52.257,21.141,4.0
52.258,20.964,4.0
52.203,20.928,4.0
52.223,20.958,4.0
52.227,21.143,4.0
52.127,21.018,4.0
52.293,21.001,4.0
52.279,20.978,4.0
52.304,20.937,4.0
52.257,21.163,4.0
52.293,21.009,4.0
52.229,21.066,4.0
52.173,21.043,4.0
52.204,21.075,4.0
52.238,21.08,4.0
52.215,21.093,4.0
52.293,21.0,4.0
52.189,20.98,4.0
52.285,21.048,4.0
52.219,21.025,4.0
52.234,21.106,4.0
52.235,21.125,4.0
52.21,21.087,4.0
52.264,20.948,3.0
52.182,20.982,3.0
52.226,21.174,3.0
52.158,21.088,3.0
52.281,20.834,3.0
52.225,21.195,3.0
52.26,20.952,3.0
52.325,21.06,3.0
52.308,20.909,3.0
52.193,20.982,3.0
52.319,20.916,3.0
52.174,21.044,3.0
52.286,21.101,3.0
52.169,21.018,3.0
52.292,21.002,3.0
52.225,21.198,3.0
52.293,21.011,3.0
52.224,21.207,3.0
52.345,21.028,3.0
52.203,21.073,3.0
52.285,21.008,3.0
52.229,20.977,3.0
52.191,20.981,3.0
52.185,21.065,3.0
52.257,21.168,3.0
52.183,20.969,3.0
52.213,21.055,3.0
52.304,20.936,3.0
52.334,21.03,3.0
52.153,21.066,3.0
52.295,21.014,3.0
52.32,20.973,3.0
52.181,20.989,3.0
52.196,21.054,3.0
52.156,21.09,3.0
52.227,21.056,3.0
52.26,21.047,3.0
52.309,20.911,3.0
52.156,21.018,3.0
52.151,21.058,3.0
52.235,21.009,3.0
52.198,20.92,3.0
52.301,20.94,3.0
52.189,21.184,3.0
52.227,20.948,3.0
52.311,21.004,3.0
52.294,21.013,3.0
52.212,20.973,3.0
52.225,21.19,3.0
52.275,21.014,3.0
52.18,20.948,3.0
52.214,20.988,3.0
52.263,21.054,3.0
52.226,20.996,3.0
52.248,20.957,3.0
52.279,20.993,3.0
52.164,21.036,3.0
52.249,21.022,3.0
52.319,20.974,3.0
52.257,20.949,3.0
52.16,21.017,3.0
52.253,21.014,3.0
52.234,21.031,3.0
52.225,21.184,3.0
52.181,21.075,3.0
52.097,20.884,3.0
52.292,21.003,3.0
52.202,21.06,3.0
52.182,20.95,3.0
52.265,21.026,3.0
52.349,21.126,3.0
52.182,21.225,3.0
52.239,21.057,3.0
52.292,21.067,3.0
52.22,21.091,3.0
52.241,21.26,3.0
52.225,21.181,3.0
52.25,21.131,3.0
52.264,20.924,3.0
52.308,20.93,3.0
52.281,20.98,3.0
52.148,21.093,3.0
52.149,20.915,3.0
52.203,21.064,3.0
52.334,20.942,3.0
52.26,21.048,3.0
52.181,20.988,3.0
52.096,21.019,3.0
52.225,21.194,3.0
52.222,20.923,3.0
52.253,21.14,3.0
52.225,21.188,3.0
52.167,21.082,3.0
52.312,20.963,3.0
52.251,20.912,3.0
52.231,21.136,3.0
52.266,21.027,3.0
52.169,21.019,3.0
52.135,21.1,3.0
52.259,20.995,3.0
52.247,21.206,3.0
52.24,21.113,3.0
52.215,20.966,3.0
52.077,21.043,3.0
52.264,20.95,3.0
52.218,20.907,3.0
52.176,21.04,3.0
52.272,20.965,3.0
52.204,21.023,3.0
52.168,21.018,3.0
52.209,21.108,3.0
52.182,21.056,3.0
52.138,21.018,3.0
52.234,21.1,3.0
52.249,20.957,3.0
52.327,20.904,3.0
52.236,21.085,3.0
