         249311383 function calls (247886283 primitive calls) in 146.505 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7947    0.011    0.000    0.683    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:613(_parse)
  2342708    0.541    0.000    0.679    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:101(LatFix)
  3995294    0.649    0.000    0.650    0.000 {built-in method builtins.max}
  6022120    0.649    0.000    0.649    0.000 {built-in method math.hypot}
    796/4    0.003    0.000    0.623    0.156 <frozen importlib._bootstrap>:1167(_find_and_load)
    794/4    0.003    0.000    0.623    0.156 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    750/4    0.002    0.000    0.622    0.156 <frozen importlib._bootstrap>:666(_load_unlocked)
    647/4    0.001    0.000    0.622    0.156 <frozen importlib._bootstrap_external>:934(exec_module)
   1765/7    0.001    0.000    0.622    0.089 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     7947    0.004    0.000    0.552    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:698(_compile)
     8154    0.550    0.000    0.550    0.000 {built-in method builtins.compile}
  1440492    0.544    0.000    0.544    0.000 {method 'groupdict' of 're.Match' objects}
  1171354    0.507    0.000    0.541    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/util.py:12(pairwise)
  1171354    0.535    0.000    0.535    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:47(sum)
        1    0.000    0.000    0.505    0.505 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/__init__.py:1(<module>)
        2    0.000    0.000    0.502    0.251 <string>:59(file_to_dict)
  5646576    0.456    0.000    0.456    0.000 {built-in method math.sqrt}
     7903    0.017    0.000    0.441    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:687(__call__)
     7903    0.007    0.000    0.421    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:773(_invoke)
  4351220    0.385    0.000    0.385    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.371    0.371 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/__init__.py:1(<module>)
        1    0.000    0.000    0.370    0.370 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/colormap.py:1(<module>)
   585677    0.251    0.000    0.370    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/units.py:77(meters)
     7947    0.010    0.000    0.363    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/parser.py:51(__init__)
19786/11856    0.045    0.000    0.359    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:260(call)
   585677    0.298    0.000    0.350    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:542(set_ellipsoid)
  2928385    0.346    0.000    0.346    0.000 {built-in method math.remainder}
     7947    0.013    0.000    0.346    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:656(_tokenize)
  1439656    0.334    0.000    0.334    0.000 {built-in method _locale.setlocale}
    19068    0.019    0.000    0.326    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:378(__next__)
    27657    0.019    0.000    0.319    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:86(get_name)
53805/24418    0.034    0.000    0.311    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/visitor.py:44(generic_visit)
     7947    0.016    0.000    0.308    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/parser.py:1030(parse)
  2928457    0.303    0.000    0.303    0.000 {built-in method math.copysign}
    27657    0.047    0.000    0.301    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/utilities.py:385(_camelify)
  2823312    0.300    0.000    0.300    0.000 {built-in method math.sin}
        1    0.000    0.000    0.300    0.300 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:1(<module>)
   585677    0.265    0.000    0.297    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:179(_ensure_same_altitude)
    19066    0.023    0.000    0.288    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:613(wrap)
  1171354    0.284    0.000    0.284    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/units.py:62(kilometers)
        1    0.000    0.000    0.280    0.280 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/utilities.py:1(<module>)
        1    0.000    0.000    0.279    0.279 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/__init__.py:1(<module>)
     7947    0.008    0.000    0.269    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:602(tokenize)
   273987    0.143    0.000    0.267    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:167(iter_child_nodes)
  2823311    0.266    0.000    0.266    0.000 {built-in method math.cos}
     7947    0.013    0.000    0.261    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:323(__init__)
     8029    0.007    0.000    0.260    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/idtracking.py:46(analyze_node)
  1757043    0.254    0.000    0.254    0.000 {built-in method builtins.round}
    27657    0.178    0.000    0.241    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/utilities.py:389(<listcomp>)
  2132588    0.240    0.000    0.240    0.000 {built-in method math.atan2}
   483/72    0.001    0.000    0.236    0.003 {built-in method builtins.__import__}
     8015    0.007    0.000    0.235    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/idtracking.py:178(_simple_visit)
    19933    0.061    0.000    0.228    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:667(tokeniter)
1538/1516    0.014    0.000    0.224    0.000 {built-in method builtins.__build_class__}
115025/107035    0.044    0.000    0.222    0.000 {method 'join' of 'str' objects}
  2879306    0.222    0.000    0.222    0.000 {method 'toordinal' of 'datetime.date' objects}
    96688    0.048    0.000    0.202    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:467(writeline)
8036/7947    0.028    0.000    0.200    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/parser.py:981(subparse)
  950/516    0.001    0.000    0.194    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
