         147166893 function calls (146345743 primitive calls) in 87.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.303    0.303 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/utilities.py:1(<module>)
        1    0.000    0.000    0.303    0.303 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/__init__.py:1(<module>)
     7947    0.015    0.000    0.303    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/parser.py:1030(parse)
    27657    0.047    0.000    0.300    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/utilities.py:385(_camelify)
    19066    0.023    0.000    0.289    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:613(wrap)
   567404    0.271    0.000    0.288    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/util.py:12(pairwise)
     7947    0.009    0.000    0.272    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:602(tokenize)
   273987    0.142    0.000    0.266    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:167(iter_child_nodes)
     7947    0.013    0.000    0.263    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:323(__init__)
     8029    0.008    0.000    0.262    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/idtracking.py:46(analyze_node)
   567404    0.262    0.000    0.262    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geographiclib/geomath.py:47(sum)
  3102376    0.261    0.000    0.261    0.000 {built-in method math.sqrt}
   483/72    0.001    0.000    0.257    0.004 {built-in method builtins.__import__}
  2608081    0.240    0.000    0.240    0.000 {built-in method math.cos}
    27657    0.177    0.000    0.240    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/utilities.py:389(<listcomp>)
     8015    0.006    0.000    0.237    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/idtracking.py:178(_simple_visit)
    19933    0.060    0.000    0.228    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:667(tokeniter)
1538/1516    0.014    0.000    0.223    0.000 {built-in method builtins.__build_class__}
  2879354    0.218    0.000    0.218    0.000 {method 'toordinal' of 'datetime.date' objects}
  950/516    0.001    0.000    0.214    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
115025/107035    0.041    0.000    0.213    0.000 {method 'join' of 'str' objects}
    96688    0.048    0.000    0.202    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:467(writeline)
8036/7947    0.027    0.000    0.196    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/parser.py:981(subparse)
   283702    0.125    0.000    0.185    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/units.py:77(meters)
   7921/1    0.010    0.000    0.178    0.178 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1269(render)
77135/23932    0.055    0.000    0.178    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:193(find_all)
   7920/3    0.006    0.000    0.177    0.059 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:176(render)
   283702    0.152    0.000    0.176    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:542(set_ellipsoid)
8036/7947    0.007    0.000    0.174    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:442(blockvisit)
    11857    0.014    0.000    0.172    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/filters.py:1676(do_tojson)
  1418510    0.172    0.000    0.172    0.000 {built-in method math.remainder}
  1451163    0.163    0.000    0.163    0.000 {method '__exit__' of '_thread.lock' objects}
     3949    0.005    0.000    0.162    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/vector_layers.py:188(__init__)
  1400205    0.161    0.000    0.161    0.000 {built-in method math.sin}
    11857    0.025    0.000    0.157    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/utils.py:626(htmlsafe_json_dumps)
  1418518    0.151    0.000    0.151    0.000 {built-in method math.copysign}
   283702    0.133    0.000    0.149    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/distance.py:179(_ensure_same_altitude)
  1634530    0.143    0.000    0.143    0.000 {method 'lower' of 'str' objects}
   567404    0.141    0.000    0.141    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/units.py:62(kilometers)
  1445186    0.138    0.000    0.138    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.134    0.134 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.133    0.133 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/features.py:1(<module>)
  1098200    0.130    0.000    0.130    0.000 {built-in method math.atan2}
  1452001    0.128    0.000    0.128    0.000 {method 'end' of 're.Match' objects}
     3949    0.007    0.000    0.125    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/vector_layers.py:131(__init__)
        1    0.000    0.000    0.123    0.123 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/api.py:1(<module>)
  1439676    0.120    0.000    0.120    0.000 {method 'weekday' of 'datetime.date' objects}
   851118    0.117    0.000    0.117    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.115    0.115 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/__init__.py:1(<module>)
        1    0.000    0.000    0.115    0.115 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/geocoders/__init__.py:1(<module>)
    11857    0.020    0.000    0.114    0.000 /usr/lib/python3.11/json/__init__.py:183(dumps)
     8097    0.025    0.000    0.110    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:1478(visit_Output)
    99292    0.087    0.000    0.108    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:453(write)
        1    0.000    0.000    0.105    0.105 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/geocoders/arcgis.py:1(<module>)
        1    0.000    0.000    0.103    0.103 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/geocoders/base.py:1(<module>)
     7926    0.004    0.000    0.101    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1375(new_context)
     7926    0.023    0.000    0.097    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:91(new_context)
  1134808    0.096    0.000    0.096    0.000 {built-in method math.radians}
    15818    0.010    0.000    0.095    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:129(add_child)
   360208    0.076    0.000    0.091    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:145(iter_fields)
623829/623729    0.089    0.000    0.091    0.000 {built-in method __new__ of type object at 0x9584a0}
    11857    0.019    0.000    0.088    0.000 /usr/lib/python3.11/json/encoder.py:183(encode)
     7993    0.009    0.000    0.086    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:142(find_undeclared)
      647    0.003    0.000    0.084    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
     7947    0.016    0.000    0.082    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:538(pull_dependencies)
     7947    0.008    0.000    0.078    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:720(write_commons)
     7947    0.019    0.000    0.075    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:229(set_environment)
     7947    0.012    0.000    0.075    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1210(from_code)
     7947    0.003    0.000    0.072    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:184(find)
        1    0.000    0.000    0.070    0.070 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/geopy/adapters.py:1(<module>)
   567404    0.069    0.000    0.069    0.000 {built-in method math.fmod}
    25573    0.051    0.000    0.068    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:127(__init__)
    11854    0.065    0.000    0.065    0.000 /usr/lib/python3.11/json/encoder.py:205(iterencode)
        1    0.000    0.000    0.065    0.065 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/numpy/lib/__init__.py:1(<module>)
        1    0.000    0.000    0.065    0.065 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/folium.py:1(<module>)
      361    0.048    0.000    0.063    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
   642736    0.063    0.000    0.063    0.000 {built-in method builtins.iter}
1533/1400    0.001    0.000    0.062    0.000 /usr/lib/python3.11/typing.py:338(inner)
   723404    0.062    0.000    0.062    0.000 {built-in method math.isnan}
