         75635515 function calls (74329514 primitive calls) in 42.923 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13974    0.033    0.000    0.528    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/frame.py:4179(_get_value)
        1    0.000    0.000    0.526    0.526 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/__init__.py:1(<module>)
   790444    0.492    0.000    0.526    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:145(iter_fields)
    42577    0.131    0.000    0.525    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/lexer.py:667(tokeniter)
     5246    0.115    0.000    0.523    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/concat.py:94(concatenate_managers)
    33194    0.170    0.000    0.508    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexes/range.py:1148(take)
   119694    0.339    0.000    0.490    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/generic.py:6233(__finalize__)
    13974    0.018    0.000    0.486    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexing.py:2577(__setitem__)
   232552    0.115    0.000    0.484    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:467(writeline)
  1284254    0.479    0.000    0.479    0.000 {method 'groupdict' of 're.Match' objects}
  19243/1    0.026    0.000    0.467    0.467 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1269(render)
  19242/3    0.017    0.000    0.465    0.155 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:176(render)
     9610    0.031    0.000    0.456    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/folium/vector_layers.py:131(__init__)
    13974    0.052    0.000    0.454    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexing.py:2529(__setitem__)
    66386    0.098    0.000    0.441    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexes/base.py:5437(_can_hold_identifiers_and_holds_name)
    28840    0.037    0.000    0.435    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/filters.py:1676(do_tojson)
   658816    0.196    0.000    0.433    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
19358/19269    0.068    0.000    0.420    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/parser.py:981(subparse)
    33194    0.244    0.000    0.405    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexers/utils.py:239(maybe_convert_indices)
179033/57898    0.127    0.000    0.405    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/nodes.py:193(find_all)
    28840    0.063    0.000    0.398    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/utils.py:626(htmlsafe_json_dumps)
        1    0.000    0.000    0.393    0.393 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/__init__.py:1(<module>)
        1    0.000    0.000    0.392    0.392 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/colormap.py:1(<module>)
    66388    0.112    0.000    0.390    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/array_algos/take.py:564(_take_preprocess_indexer_and_fill_value)
     5246    0.007    0.000    0.387    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/reshape/concat.py:699(new_axes)
     5246    0.009    0.000    0.377    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/reshape/concat.py:702(<listcomp>)
    13974    0.035    0.000    0.367    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/frame.py:4528(_set_value)
   131056    0.095    0.000    0.361    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:137(is_object_dtype)
139668/139665    0.068    0.000    0.354    0.000 {built-in method builtins.all}
     5248    0.028    0.000    0.353    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/construction.py:596(_homogenize)
19358/19269    0.017    0.000    0.352    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:442(blockvisit)
    56780    0.237    0.000    0.351    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1012(iget)
  4031331    0.338    0.000    0.338    0.000 {method 'get' of 'dict' objects}
    48930    0.087    0.000    0.326    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexes/base.py:5552(equals)
    33194    0.069    0.000    0.325    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/common.py:97(is_bool_indexer)
        1    0.000    0.000    0.321    0.321 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:1(<module>)
     5246    0.007    0.000    0.321    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/reshape/concat.py:707(_get_comb_axis)
   160532    0.320    0.000    0.320    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5246    0.006    0.000    0.311    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexes/api.py:72(get_objs_combined_axis)
        1    0.000    0.000    0.301    0.301 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/utilities.py:1(<module>)
     5248    0.052    0.000    0.300    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexes/base.py:475(__new__)
        1    0.000    0.000    0.300    0.300 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/__init__.py:1(<module>)
     5246    0.014    0.000    0.293    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/indexes/api.py:120(_get_combined_index)
    38462    0.041    0.000    0.291    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/branca/element.py:129(add_child)
    28840    0.049    0.000    0.289    0.000 /usr/lib/python3.11/json/__init__.py:183(dumps)
    42806    0.049    0.000    0.283    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/frame.py:672(_constructor_sliced_from_mgr)
    13974    0.022    0.000    0.280    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1298(column_setitem)
    38445    0.075    0.000    0.277    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/managers.py:1861(from_array)
  1283418    0.264    0.000    0.264    0.000 {built-in method _locale.setlocale}
   235156    0.208    0.000    0.258    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:453(write)
    19248    0.012    0.000    0.254    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/environment.py:1375(new_context)
   483/72    0.001    0.000    0.254    0.004 {built-in method builtins.__import__}
    81256    0.069    0.000    0.254    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/generic.py:339(_from_mgr)
   124949    0.202    0.000    0.254    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/generic.py:278(__init__)
   131056    0.106    0.000    0.243    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1434(_is_dtype_type)
    19248    0.058    0.000    0.243    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/runtime.py:91(new_context)
    19419    0.057    0.000    0.232    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:1478(visit_Output)
     5248    0.014    0.000    0.230    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2119(create_block_manager_from_column_arrays)
   658816    0.172    0.000    0.227    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:37(_check)
    28840    0.048    0.000    0.225    0.000 /usr/lib/python3.11/json/encoder.py:183(encode)
    66388    0.215    0.000    0.225    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:551(maybe_promote)
1539/1517    0.014    0.000    0.223    0.000 {built-in method builtins.__build_class__}
    43705    0.046    0.000    0.221    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/_config/config.py:145(_get_option)
    76885    0.073    0.000    0.217    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/series.py:780(name)
  952/518    0.001    0.000    0.211    0.000 <frozen importlib._bootstrap>:1209(_handle_fromlist)
  2566828    0.211    0.000    0.211    0.000 {built-in method math.cos}
    85412    0.035    0.000    0.210    0.000 {method 'any' of 'numpy.ndarray' objects}
    20791    0.095    0.000    0.210    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/dtypes/cast.py:124(maybe_convert_platform)
  1788881    0.208    0.000    0.209    0.000 {built-in method builtins.getattr}
    66388    0.080    0.000    0.193    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1198(is_bool_dtype)
    66386    0.038    0.000    0.190    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/dtypes/common.py:536(is_string_dtype)
    19315    0.019    0.000    0.190    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:142(find_undeclared)
    19269    0.039    0.000    0.190    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:538(pull_dependencies)
    19269    0.019    0.000    0.189    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/jinja2/compiler.py:720(write_commons)
    13974    0.019    0.000    0.189    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/managers.py:2019(setitem_inplace)
  2566830    0.189    0.000    0.189    0.000 {method 'toordinal' of 'datetime.date' objects}
    54182    0.077    0.000    0.189    0.000 /home/students/inf/i/ik448298/Desktop/Python/Projekt_new/tests/busenv/lib/python3.11/site-packages/pandas/core/internals/base.py:82(shape)
